,pe-1-4-0,pe-1-2-2,pe-1-1-3,pe-1-3-1,pe-1-0-4,Time,AF
0,3,15,20,2,12,0.0,3
1,7,16,13,10,11,0.024437927663734114,8
2,9,16,15,10,11,0.04887585532746823,5
3,5,10,12,9,15,0.07331378299120234,9
4,7,22,16,11,20,0.09775171065493646,5
5,9,5,18,5,19,0.12218963831867058,8
6,7,12,8,17,15,0.14662756598240467,5
7,3,13,12,4,18,0.1710654936461388,6
8,5,10,18,10,7,0.19550342130987292,10
9,5,14,13,16,19,0.21994134897360704,5
10,7,14,22,8,19,0.24437927663734116,11
11,7,14,12,11,21,0.26881720430107525,9
12,2,4,16,10,18,0.29325513196480935,7
13,10,15,15,14,21,0.3176930596285435,8
14,5,16,18,7,15,0.3421309872922776,3
15,7,9,17,8,19,0.36656891495601174,8
16,6,16,8,7,27,0.39100684261974583,8
17,3,12,20,7,12,0.4154447702834799,10
18,11,14,21,5,11,0.4398826979472141,12
19,6,15,10,17,26,0.46432062561094817,11
20,3,18,15,5,17,0.4887585532746823,6
21,8,12,11,12,17,0.5131964809384164,5
22,6,12,20,6,20,0.5376344086021505,10
23,9,13,15,11,15,0.5620723362658846,9
24,5,24,21,8,19,0.5865102639296187,9
25,12,12,12,11,28,0.6109481915933529,9
26,10,12,21,9,21,0.635386119257087,10
27,12,16,11,12,28,0.6598240469208211,8
28,4,12,22,7,19,0.6842619745845552,8
29,14,14,18,5,15,0.7086999022482893,8
30,5,11,11,9,21,0.7331378299120235,5
31,9,14,11,8,26,0.7575757575757576,13
32,1,14,9,8,18,0.7820136852394917,6
33,14,12,10,8,14,0.8064516129032258,12
34,6,14,21,9,17,0.8308895405669598,12
35,8,20,11,8,13,0.855327468230694,9
36,3,9,14,15,25,0.8797653958944281,6
37,13,13,11,12,17,0.9042033235581622,14
38,5,14,17,10,17,0.9286412512218963,4
39,14,12,7,12,22,0.9530791788856304,7
40,8,10,18,1,29,0.9775171065493646,6
41,5,16,16,14,20,1.0019550342130987,15
42,6,18,13,15,16,1.0263929618768328,4
43,9,17,14,6,22,1.050830889540567,7
44,8,10,17,8,15,1.075268817204301,8
45,11,10,20,11,15,1.099706744868035,12
46,8,11,19,12,19,1.1241446725317692,8
47,8,11,24,13,14,1.1485826001955033,11
48,11,17,7,12,20,1.1730205278592374,13
49,12,14,19,6,24,1.1974584555229717,5
50,4,12,13,10,25,1.2218963831867058,8
51,17,19,13,10,20,1.2463343108504399,13
52,5,17,20,15,23,1.270772238514174,9
53,2,12,15,13,16,1.295210166177908,10
54,7,16,15,9,19,1.3196480938416422,11
55,6,14,14,12,19,1.3440860215053763,10
56,8,19,17,7,20,1.3685239491691104,5
57,12,11,21,13,19,1.3929618768328444,13
58,7,18,17,16,19,1.4173998044965785,9
59,8,21,12,11,13,1.4418377321603129,6
60,13,20,23,7,20,1.466275659824047,8
61,3,10,12,9,21,1.490713587487781,12
62,10,23,17,9,19,1.5151515151515151,12
63,4,12,14,8,14,1.5395894428152492,13
64,10,12,8,15,26,1.5640273704789833,5
65,9,15,10,5,12,1.5884652981427174,7
66,11,14,16,9,18,1.6129032258064515,7
67,5,18,9,10,17,1.6373411534701856,8
68,5,11,13,11,14,1.6617790811339197,8
69,6,14,15,12,15,1.6862170087976538,11
70,5,13,14,12,23,1.710654936461388,4
71,8,11,14,11,14,1.7350928641251222,18
72,4,15,15,10,12,1.7595307917888563,9
73,5,12,9,3,15,1.7839687194525904,12
74,2,9,6,12,11,1.8084066471163245,14
75,10,10,8,4,17,1.8328445747800586,20
76,10,9,10,13,14,1.8572825024437927,11
77,13,17,17,10,17,1.8817204301075268,13
78,13,15,14,12,16,1.9061583577712609,23
79,16,15,15,10,19,1.930596285434995,18
80,8,18,18,20,11,1.9550342130987293,22
81,21,24,24,10,15,1.9794721407624634,24
82,16,12,17,19,19,2.0039100684261975,26
83,18,21,19,20,15,2.0283479960899315,35
84,23,19,22,23,20,2.0527859237536656,36
85,20,19,29,13,11,2.0772238514173997,44
86,26,27,22,23,12,2.101661779081134,50
87,34,23,25,36,11,2.126099706744868,62
88,27,21,31,39,14,2.150537634408602,87
89,42,35,35,29,20,2.174975562072336,104
90,61,27,34,37,15,2.19941348973607,119
91,98,36,48,53,12,2.2238514173998043,155
92,104,64,78,83,19,2.2482893450635384,228
93,182,95,94,103,14,2.2727272727272725,309
94,215,131,127,149,26,2.2971652003910066,513
95,349,181,189,230,25,2.3216031280547407,813
96,561,294,317,377,26,2.3460410557184748,1204
97,860,426,499,535,28,2.3704789833822093,1925
98,1340,662,657,797,42,2.3949169110459434,2965
99,1824,987,922,1139,49,2.4193548387096775,4141
100,2356,1191,1180,1472,74,2.4437927663734116,5450
101,2850,1503,1414,1838,98,2.4682306940371457,6599
102,3268,1690,1652,2067,138,2.4926686217008798,7492
103,3570,1749,1693,2162,169,2.517106549364614,8111
104,3298,1761,1723,2078,172,2.541544477028348,7857
105,3100,1557,1727,1887,214,2.565982404692082,7149
106,2611,1338,1346,1609,259,2.590420332355816,6014
107,2096,1130,1219,1313,219,2.6148582600195502,5043
108,1585,875,952,1028,292,2.6392961876832843,3909
109,1212,743,781,710,320,2.6637341153470184,2936
110,832,544,642,600,247,2.6881720430107525,2264
111,597,458,504,416,285,2.7126099706744866,1651
112,448,396,444,310,263,2.7370478983382207,1324
113,306,375,389,281,296,2.761485826001955,895
114,244,313,344,202,258,2.785923753665689,714
115,180,289,292,192,239,2.810361681329423,556
116,145,307,276,188,268,2.834799608993157,449
117,122,263,291,159,266,2.859237536656891,327
118,100,254,274,151,261,2.8836754643206257,308
119,85,254,242,149,261,2.90811339198436,240
120,96,268,240,137,262,2.932551319648094,238
121,73,265,230,121,237,2.956989247311828,190
122,64,227,224,122,263,2.981427174975562,150
123,78,245,249,123,238,3.005865102639296,129
124,61,236,227,127,269,3.0303030303030303,122
125,61,237,234,115,247,3.0547409579667644,108
126,64,202,238,121,250,3.0791788856304985,118
127,62,210,217,103,221,3.1036168132942326,82
128,46,220,201,98,201,3.1280547409579667,92
129,51,220,216,108,208,3.1524926686217007,73
130,45,196,215,100,211,3.176930596285435,77
131,44,245,225,99,199,3.201368523949169,90
132,54,210,212,108,214,3.225806451612903,71
133,52,201,213,89,220,3.250244379276637,71
134,55,216,197,113,245,3.274682306940371,64
135,48,214,179,92,200,3.2991202346041053,62
136,49,216,186,110,211,3.3235581622678394,68
137,39,171,191,95,194,3.3479960899315735,84
138,48,194,186,98,192,3.3724340175953076,91
139,52,206,196,130,183,3.396871945259042,87
140,55,192,173,112,202,3.421309872922776,81
141,67,177,205,97,227,3.4457478005865103,105
142,56,194,208,96,194,3.4701857282502444,109
143,67,193,202,98,192,3.4946236559139785,90
144,59,187,204,95,172,3.5190615835777126,124
145,68,197,187,109,196,3.5434995112414467,109
146,64,179,198,98,192,3.567937438905181,127
147,54,194,196,115,184,3.592375366568915,130
148,70,192,192,97,191,3.616813294232649,126
149,83,202,197,96,201,3.641251221896383,112
150,65,194,189,96,203,3.665689149560117,104
151,69,166,199,97,178,3.6901270772238512,108
152,64,201,192,89,205,3.7145650048875853,100
153,45,182,182,80,222,3.7390029325513194,91
154,33,184,163,95,186,3.7634408602150535,74
155,41,189,184,86,207,3.7878787878787876,56
156,33,145,161,80,195,3.8123167155425217,48
157,40,166,160,91,199,3.836754643206256,49
158,38,184,166,85,164,3.86119257086999,55
159,29,157,157,75,184,3.885630498533724,40
160,37,161,181,79,170,3.9100684261974585,52
161,46,139,202,83,198,3.9345063538611926,37
162,40,143,203,77,193,3.9589442815249267,51
163,28,173,167,79,190,3.983382209188661,40
164,31,156,142,68,188,4.007820136852395,41
165,35,164,172,75,179,4.032258064516129,27
166,24,151,158,73,190,4.056695992179863,36
167,22,135,166,93,188,4.081133919843597,30
168,31,161,154,74,168,4.105571847507331,29
169,31,153,152,68,165,4.130009775171065,22
170,23,150,166,65,161,4.1544477028347995,24
171,13,152,139,66,190,4.178885630498534,29
172,26,154,128,59,180,4.203323558162268,19
173,16,133,134,77,181,4.227761485826002,24
174,26,172,146,78,182,4.252199413489736,24
175,16,123,176,64,183,4.27663734115347,16
176,21,149,164,57,162,4.301075268817204,24
177,27,160,153,58,164,4.325513196480938,30
178,22,154,136,55,164,4.349951124144672,19
179,22,138,148,63,157,4.374389051808406,23
180,26,151,128,65,191,4.39882697947214,14
181,24,149,163,55,162,4.4232649071358745,22
182,22,121,128,64,160,4.447702834799609,21
183,27,164,173,72,168,4.472140762463343,20
184,16,140,161,59,166,4.496578690127077,18
185,21,151,134,66,164,4.521016617790811,21
186,21,123,127,60,155,4.545454545454545,19
187,16,139,153,69,156,4.569892473118279,26
188,21,128,128,71,176,4.594330400782013,22
189,19,127,158,77,157,4.618768328445747,8
190,21,135,153,60,152,4.643206256109481,15
191,15,110,139,60,167,4.667644183773215,16
192,23,122,126,62,148,4.6920821114369495,20
193,14,142,143,66,160,4.7165200391006845,17
194,20,123,142,68,151,4.740957966764419,17
195,22,114,129,57,156,4.765395894428153,23
196,20,124,144,66,172,4.789833822091887,19
197,29,127,145,64,154,4.814271749755621,14
198,17,121,142,71,158,4.838709677419355,19
199,22,98,136,51,162,4.863147605083089,13
200,18,125,136,52,157,4.887585532746823,15
201,20,113,124,48,136,4.912023460410557,15
202,25,119,139,56,163,4.936461388074291,16
203,22,140,128,58,146,4.9608993157380255,13
204,14,112,132,60,131,4.9853372434017595,19
205,17,119,113,44,162,5.009775171065494,10
206,14,122,134,49,155,5.034213098729228,7
207,19,118,125,48,163,5.058651026392962,19
208,18,118,127,57,161,5.083088954056696,10
209,18,114,140,70,136,5.10752688172043,11
210,14,138,113,47,120,5.131964809384164,17
211,11,135,130,50,153,5.156402737047898,15
212,22,115,121,74,129,5.180840664711632,15
213,21,116,134,47,145,5.205278592375366,11
214,12,113,129,43,147,5.2297165200391005,11
215,12,118,131,50,148,5.254154447702835,11
216,15,116,125,52,131,5.278592375366569,15
217,19,115,129,43,146,5.303030303030303,16
218,20,128,135,52,137,5.327468230694037,17
219,19,95,103,57,144,5.351906158357771,17
220,18,109,138,68,133,5.376344086021505,13
221,11,129,136,58,136,5.400782013685239,13
222,15,112,142,54,159,5.425219941348973,17
223,17,96,107,61,140,5.449657869012707,18
224,12,128,132,37,122,5.474095796676441,15
225,20,108,100,44,155,5.4985337243401755,12
226,30,105,112,54,132,5.52297165200391,10
227,15,100,133,49,135,5.547409579667644,14
228,20,119,115,56,130,5.571847507331378,13
229,12,127,122,49,142,5.596285434995112,13
230,16,102,128,57,136,5.620723362658846,23
231,15,99,114,58,123,5.64516129032258,7
232,15,91,118,54,130,5.669599217986314,9
233,24,118,121,51,135,5.694037145650048,19
234,20,101,122,49,135,5.718475073313782,11
235,17,102,110,43,141,5.742913000977517,5
236,27,101,109,44,141,5.767350928641251,12
237,29,112,115,42,144,5.7917888563049855,10
238,18,134,123,50,154,5.81622678396872,17
239,18,112,143,41,135,5.840664711632454,9
240,13,97,119,38,138,5.865102639296188,14
241,22,113,109,37,135,5.889540566959922,14
242,13,120,113,48,131,5.913978494623656,8
243,13,106,105,52,120,5.93841642228739,8
244,15,110,111,47,119,5.962854349951124,9
245,10,87,124,40,147,5.987292277614858,9
246,21,88,110,62,116,6.011730205278592,11
247,12,100,115,37,115,6.0361681329423265,11
248,10,104,109,50,129,6.0606060606060606,13
249,17,108,104,47,139,6.085043988269795,5
250,18,119,121,44,123,6.109481915933529,16
251,15,89,104,52,99,6.133919843597263,15
252,14,118,98,53,98,6.158357771260997,16
253,10,100,111,34,119,6.182795698924731,4
254,20,120,81,46,120,6.207233626588465,10
255,14,81,108,42,130,6.231671554252199,3
256,13,111,99,43,147,6.256109481915933,11
257,18,109,108,41,124,6.280547409579667,19
258,16,99,109,46,126,6.3049853372434015,11
259,18,95,110,49,136,6.329423264907136,9
260,12,95,99,54,115,6.35386119257087,10
261,14,101,119,45,120,6.378299120234604,8
262,11,116,72,48,126,6.402737047898338,17
263,15,91,103,25,121,6.427174975562072,8
264,18,94,108,43,113,6.451612903225806,7
265,16,78,106,44,116,6.47605083088954,10
266,20,106,101,39,117,6.500488758553274,8
267,15,89,91,43,102,6.524926686217008,10
268,12,107,101,38,93,6.549364613880742,10
269,8,87,106,51,135,6.5738025415444765,14
270,17,75,114,39,95,6.598240469208211,12
271,14,90,82,38,110,6.622678396871945,15
272,16,89,100,33,116,6.647116324535679,9
273,7,85,96,36,110,6.671554252199413,15
274,16,85,128,40,122,6.695992179863147,8
275,15,85,70,40,111,6.720430107526881,11
276,13,85,115,47,102,6.744868035190615,8
277,11,82,86,38,115,6.769305962854349,15
278,10,83,116,32,118,6.793743890518084,8
279,10,103,99,25,110,6.818181818181818,9
280,10,88,85,39,114,6.842619745845552,11
281,16,95,109,47,106,6.8670576735092865,12
282,14,79,98,46,117,6.891495601173021,12
283,17,80,94,39,117,6.915933528836755,7
284,19,80,73,38,99,6.940371456500489,13
285,9,83,83,51,106,6.964809384164223,9
286,12,85,83,47,97,6.989247311827957,7
287,21,81,80,40,101,7.013685239491691,14
288,10,83,80,38,126,7.038123167155425,5
289,10,88,85,48,121,7.062561094819159,11
290,10,84,86,33,95,7.086999022482893,16
291,12,83,98,32,105,7.1114369501466275,9
292,12,81,97,42,118,7.135874877810362,10
293,13,95,98,52,139,7.160312805474096,11
294,13,69,91,40,107,7.18475073313783,14
295,13,83,91,36,108,7.209188660801564,4
296,10,89,73,39,80,7.233626588465298,5
297,13,83,84,37,103,7.258064516129032,14
298,21,77,76,38,94,7.282502443792766,13
299,13,95,70,41,98,7.3069403714565,7
300,8,77,73,44,88,7.331378299120234,9
301,15,79,80,33,109,7.355816226783968,6
302,16,71,84,40,95,7.3802541544477025,10
303,17,74,83,41,107,7.404692082111437,9
304,10,76,98,40,112,7.429130009775171,9
305,14,68,104,30,84,7.453567937438905,5
306,12,84,81,26,108,7.478005865102639,4
307,10,72,92,29,120,7.502443792766373,9
308,12,77,96,38,98,7.526881720430107,8
309,13,66,85,34,96,7.551319648093841,13
310,17,67,89,34,101,7.575757575757575,12
311,15,78,72,38,107,7.600195503421309,12
312,9,79,81,36,91,7.624633431085043,11
313,8,70,73,40,95,7.6490713587487775,8
314,8,84,74,33,88,7.673509286412512,13
315,9,88,76,26,91,7.697947214076246,7
316,11,76,66,31,75,7.72238514173998,11
317,12,88,72,35,88,7.746823069403714,11
318,9,74,70,28,89,7.771260997067448,7
319,10,70,78,21,77,7.795698924731182,8
320,14,85,87,36,97,7.820136852394917,4
321,14,78,82,42,96,7.844574780058651,8
322,11,67,65,41,89,7.869012707722385,10
323,12,73,92,31,96,7.893450635386119,4
324,7,81,94,32,91,7.9178885630498534,7
325,10,72,58,24,83,7.9423264907135875,10
326,11,78,84,25,94,7.966764418377322,11
327,13,74,76,26,95,7.991202346041056,11
328,13,94,67,30,88,8.01564027370479,16
329,17,72,74,27,87,8.040078201368523,7
330,9,65,92,34,94,8.064516129032258,8
331,12,68,76,30,106,8.088954056695991,7
332,8,78,76,41,73,8.113391984359726,16
333,11,92,73,35,78,8.13782991202346,6
334,10,74,75,35,86,8.162267839687194,10
335,15,72,59,22,102,8.186705767350928,9
336,15,63,71,28,89,8.211143695014663,9
337,11,67,74,25,92,8.235581622678396,7
338,8,81,59,28,92,8.26001955034213,9
339,16,68,80,23,84,8.284457478005864,12
340,7,61,80,29,80,8.308895405669599,5
341,12,69,71,27,80,8.333333333333332,12
342,9,67,79,22,96,8.357771260997067,1
343,13,64,85,20,80,8.382209188660802,4
344,12,59,76,33,84,8.406647116324535,10
345,12,71,66,30,89,8.43108504398827,8
346,15,66,75,30,81,8.455522971652004,7
347,17,68,73,32,76,8.479960899315738,5
348,21,54,73,30,74,8.504398826979472,8
349,8,57,59,25,87,8.528836754643207,8
350,12,67,56,31,85,8.55327468230694,6
351,9,90,82,27,73,8.577712609970675,9
352,18,57,64,31,82,8.602150537634408,10
353,12,62,66,38,80,8.626588465298143,13
354,10,71,81,19,97,8.651026392961876,4
355,12,67,59,19,84,8.675464320625611,6
356,10,60,67,33,96,8.699902248289344,9
357,10,37,61,30,68,8.72434017595308,4
358,14,78,69,25,72,8.748778103616813,11
359,19,61,69,27,92,8.773216031280548,9
360,11,66,76,28,75,8.79765395894428,10
361,5,69,59,22,92,8.822091886608016,7
362,8,56,74,26,72,8.846529814271749,12
363,10,58,61,26,81,8.870967741935484,5
364,11,62,73,23,72,8.895405669599217,8
365,9,64,50,29,79,8.919843597262952,8
366,8,64,56,23,70,8.944281524926685,8
367,14,55,67,26,95,8.96871945259042,4
368,13,61,76,27,96,8.993157380254154,15
369,10,60,59,26,96,9.017595307917889,12
370,11,54,73,24,67,9.042033235581622,9
371,7,72,70,34,75,9.066471163245357,8
372,4,52,68,23,75,9.09090909090909,8
373,14,67,77,21,72,9.115347018572825,8
374,13,44,74,29,92,9.139784946236558,14
375,12,65,57,26,63,9.164222873900293,7
376,11,49,49,25,86,9.188660801564026,8
377,8,43,61,22,79,9.213098729227761,10
378,10,54,54,22,88,9.237536656891495,5
379,9,55,63,31,74,9.26197458455523,12
380,8,38,51,27,72,9.286412512218963,7
381,12,49,62,31,74,9.310850439882698,16
382,9,51,60,24,51,9.33528836754643,9
383,8,66,77,34,81,9.359726295210166,12
384,8,51,65,30,79,9.384164222873899,4
385,7,55,57,23,77,9.408602150537634,7
386,13,54,59,33,68,9.433040078201369,13
387,10,52,46,26,67,9.457478005865102,9
388,13,62,67,28,84,9.481915933528837,10
389,11,52,66,27,78,9.50635386119257,6
390,7,48,73,35,69,9.530791788856305,9
391,7,65,71,31,78,9.555229716520039,9
392,16,60,50,22,58,9.579667644183774,10
393,15,57,43,18,65,9.604105571847507,13
394,7,64,54,27,84,9.628543499511242,14
395,7,57,66,28,63,9.652981427174975,7
396,5,63,59,23,86,9.67741935483871,8
397,8,71,55,18,64,9.701857282502443,6
398,10,66,58,31,71,9.726295210166178,11
399,9,70,53,28,75,9.750733137829911,5
400,17,59,53,20,71,9.775171065493646,8
401,7,74,61,20,59,9.79960899315738,12
402,11,57,59,28,69,9.824046920821115,11
403,11,59,55,25,79,9.848484848484848,7
404,13,47,58,26,57,9.872922776148583,12
405,16,60,58,29,65,9.897360703812316,8
406,10,42,51,26,69,9.921798631476051,9
407,7,60,48,21,68,9.946236559139784,6
408,7,52,50,17,68,9.970674486803519,6
409,9,39,54,20,71,9.995112414467252,6
410,15,51,57,21,62,10.019550342130987,6
411,16,57,46,15,70,10.04398826979472,6
412,5,54,51,23,72,10.068426197458455,7
413,9,46,51,25,63,10.092864125122189,7
414,7,48,57,19,77,10.117302052785924,8
415,6,45,51,18,57,10.141739980449657,2
416,8,49,62,27,75,10.166177908113392,4
417,5,45,52,27,70,10.190615835777125,8
418,2,38,58,15,52,10.21505376344086,10
419,12,48,42,27,84,10.239491691104593,9
420,12,44,56,25,51,10.263929618768328,7
421,12,45,59,23,69,10.288367546432061,8
422,12,48,51,20,47,10.312805474095796,5
423,12,48,61,20,58,10.33724340175953,9
424,6,53,45,27,68,10.361681329423265,9
425,5,58,47,23,56,10.386119257086998,8
426,13,52,58,19,58,10.410557184750733,13
427,8,53,48,17,67,10.434995112414468,6
428,11,49,44,18,54,10.459433040078201,4
429,10,44,42,19,70,10.483870967741936,10
430,11,52,65,20,71,10.50830889540567,9
431,9,42,49,27,56,10.532746823069404,15
432,10,64,57,18,69,10.557184750733137,9
433,6,51,54,25,65,10.581622678396872,11
434,12,46,40,21,62,10.606060606060606,8
435,9,49,40,21,62,10.63049853372434,10
436,10,48,48,19,61,10.654936461388074,9
437,9,56,52,20,68,10.679374389051809,10
438,9,52,56,25,66,10.703812316715542,8
439,6,47,47,20,67,10.728250244379277,8
440,11,49,44,23,62,10.75268817204301,12
441,13,55,45,24,56,10.777126099706745,8
442,10,54,48,25,46,10.801564027370478,12
443,11,48,38,17,56,10.826001955034213,4
444,6,48,46,24,53,10.850439882697946,5
445,10,44,53,15,58,10.874877810361681,8
446,10,49,49,18,58,10.899315738025415,7
447,7,47,50,22,57,10.92375366568915,7
448,13,35,48,23,50,10.948191593352883,11
449,7,54,47,26,53,10.972629521016618,8
450,13,41,45,16,54,10.997067448680351,10
451,4,52,46,13,44,11.021505376344086,6
452,6,49,42,17,50,11.04594330400782,11
453,11,51,56,17,57,11.070381231671554,10
454,7,51,44,21,54,11.094819159335287,5
455,6,55,48,20,46,11.119257086999022,11
456,11,44,51,20,46,11.143695014662756,9
457,6,49,62,21,62,11.16813294232649,12
458,7,47,38,17,43,11.192570869990224,10
459,7,46,51,15,50,11.217008797653959,7
460,11,31,50,20,42,11.241446725317692,12
461,12,48,48,15,54,11.265884652981427,8
462,9,53,62,26,44,11.29032258064516,9
463,8,44,47,14,59,11.314760508308895,7
464,10,43,47,25,59,11.339198435972628,8
465,13,47,42,23,49,11.363636363636363,9
466,12,48,40,9,51,11.388074291300097,8
467,8,48,48,20,62,11.412512218963832,7
468,3,45,43,19,53,11.436950146627565,6
469,7,37,53,16,57,11.4613880742913,6
470,10,46,41,18,46,11.485826001955035,8
471,13,44,51,18,64,11.510263929618768,7
472,11,45,40,20,47,11.534701857282503,11
473,9,47,47,27,59,11.559139784946236,14
474,5,46,44,21,44,11.583577712609971,9
475,13,38,52,23,51,11.608015640273704,8
476,9,49,55,20,50,11.63245356793744,9
477,4,35,42,18,58,11.656891495601172,6
478,6,56,33,11,58,11.681329423264907,9
479,7,44,46,21,56,11.70576735092864,10
480,9,36,46,11,55,11.730205278592376,7
481,11,46,45,35,47,11.754643206256109,10
482,10,56,48,18,43,11.779081133919844,7
483,11,41,49,22,52,11.803519061583577,9
484,12,40,34,22,54,11.827956989247312,14
485,7,40,38,23,57,11.852394916911045,7
486,7,43,49,15,42,11.87683284457478,9
487,9,46,38,16,62,11.901270772238513,2
488,4,42,39,17,64,11.925708699902248,12
489,5,42,39,14,46,11.950146627565982,7
490,10,32,32,17,50,11.974584555229717,9
491,10,45,45,17,64,11.99902248289345,6
492,7,42,47,20,45,12.023460410557185,19
493,9,37,38,23,38,12.047898338220918,4
494,19,35,30,12,44,12.072336265884653,12
495,7,51,42,15,71,12.096774193548386,7
496,5,40,30,12,52,12.121212121212121,8
497,12,41,33,23,46,12.145650048875854,7
498,5,39,54,13,56,12.17008797653959,6
499,8,33,39,18,43,12.194525904203322,6
500,8,39,42,22,50,12.218963831867057,6
501,10,42,37,20,45,12.24340175953079,6
502,9,42,46,11,65,12.267839687194526,7
503,15,44,42,16,48,12.292277614858259,6
504,12,41,27,12,49,12.316715542521994,10
505,12,44,43,19,54,12.341153470185727,8
506,10,44,56,17,42,12.365591397849462,6
507,8,52,39,21,43,12.390029325513195,12
508,8,34,29,12,58,12.41446725317693,8
